IMBD title ID,Original title,Release year,Genre,Duration,Country,Content Rating,Director,Income,Votes,Score
tt0032553,The Great Dictator,1945,"Comedy, Drama, War",125,USA,Not Available,Charles Chaplin,969.879,197.381,"8,00"
tt0043014,Sunset Blvd.,1951,"Drama, Film-Noir",110,USA,Not Available,Billy Wilder,299.645,195.789,"8,00"
tt0361748,Inglourious Basterds,2009,"Adventure, Drama, War",153,Germany,R,Quentin Tarantino,321.455.689,1.229.958,"8,00"
tt0169547,American Beauty,2000,Drama,122,USA,R,Sam Mendes,356.296.601,1.049.009,"8,00"
tt0112573,Braveheart,1995,"Biography, Drama, History",178,USA,R,Mel Gibson,213.216.216,941.683,"7,90"
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",131,USA,PG,Richard Marquand,475.347.111,928.036,"7,90"
tt0105236,Reservoir Dogs,1992,"Crime, Drama, Thriller",99,USA,R,Quentin Tarantino,2.889.963,896.551,"7,90"
tt0338013,Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",108,USA,R,Michel Gondry,74.036.715,889.875,"7,90"
tt0114709,Toy Story,1996,"Animation, Adventure, Comedy",81,USA,G,John Lasseter,404.265.438,864.461,"7,90"
tt0119217,Good Will Hunting,1998,"Drama, Romance",126,USA,R,Gus Van Sant,225.933.435,837.379,"7,80"
tt0208092,Snatch,2001,"Comedy, Crime",104,UK,R,Guy Ritchie,83.557.872,766.589,"7,80"
tt0180093,Requiem for a Dream,2000,Drama,102,USA,R,Darren Aronofsky,7.390.108,748.291,"7,80"
tt0066921,A Clockwork Orange,1972,"Crime, Drama, Sci-Fi",136,UK,Not Available,Stanley Kubrick,26.903.440,740.301,"7,80"
tt0435761,Toy Story 3,2010,"Animation, Adventure, Comedy",103,USA,G,Lee Unkrich,1.066.969.703,739.717,"7,80"
tt0086250,Scarface,1984,"Crime, Drama",170,USA,R,Brian De Palma,66.023.585,721.343,"7,80"
tt0075314,Taxi Driver,1976,"Crime, Drama",114,USA,R,Martin Scorsese,28.441.292,703.264,"7,70"
tt0211915,Le fabuleux destin d'Amélie Poulain,2002,"Comedy, Romance",122,France,R,Jean-Pierre Jeunet,173.924.742,690.480,"7,70"
tt0093058,Full Metal Jacket,1987,"Drama, War",116,UK,Not Available,Stanley Kubrick,46.357.676,658.175,"7,70"
tt0090605,Aliens,1986,"Action, Adventure, Sci-Fi",137,USA,R,James Cameron,131.384.634,639.500,"7,70"
tt0062622,2001: A Space Odyssey,1968,"Adventure, Sci-Fi",149,UK,G,Stanley Kubrick,68.989.547,587.866,"7,60"
tt0033467,Citizen Kane,1948,"Drama, Mystery",119,USA,Not Available,Orson Welles,1.594.107,389.322,"7,60"
tt8579674,1917,2020,"Drama, War",119,USA,Not Available,Sam Mendes,384.857.224,362.897,"7,60"
tt0086879,Amadeus,1985,"Biography, Drama, History",160,USA,R,Milos Forman,52.066.791,361.028,"7,60"
tt0052357,Vertigo,1958,"Mystery, Romance, Thriller",128,USA,Not Available,Alfred Hitchcock,7.796.389,352.786,"7,50"
tt0053125,North by Northwest,1959,"Adventure, Mystery, Thriller",136,USA,Not Available,Alfred Hitchcock,73.446,291.628,"7,50"
tt2106476,Jagten,2012,Drama,115,Denmark,R,Thomas Vinterberg,15.843.274,269.616,"7,50"
tt0056172,Lawrence of Arabia,1963,"Adventure, Biography, Drama",228,UK,PG,David Lean,45.710.874,261.504,"7,50"
tt0070735,The Sting,1974,"Comedy, Crime, Drama",129,USA,PG,George Roy Hill,156.000.000,236.285,"7,50"
tt0082096,Das Boot,1982,"Adventure, Drama, Thriller",149,West Germany,R,Wolfgang Petersen,11.487.676,226.427,"7,50"
tt0059578,Per qualche dollaro in più,1965,Western,132,Italy,Not Available,Sergio Leone,15.000.000,226.039,"7,40"
tt1832382,Jodaeiye Nader az Simin,2011,Drama,123,Iran,PG-13,Asghar Farhadi,22.926.076,214.165,"7,40"
tt0045152,Singin' in the Rain,1953,"Comedy, Musical, Romance",103,USA,Not Available,Stanley Donen,1.864.182,213.152,"7,40"
